arg_id,micro_cluster_id,cluster_size,is_centroid,centroid_arg_id
A86_7,806,1,true,A86_7
A86_8,895,1,true,A86_8
A86_9,816,3,true,A86_9
A86_10,817,1,true,A86_10
A86_11,788,1,true,A86_11
A87_0,851,2,true,A87_0
A87_1,499,2,true,A87_1
A87_2,524,2,false,A101_2
A87_3,359,1,true,A87_3
A87_4,322,2,true,A87_4
A87_5,151,1,true,A87_5
A88_0,20,2,true,A88_0
A88_1,765,1,true,A88_1
A88_2,319,1,true,A88_2
A88_3,653,2,true,A88_3
A88_4,492,1,true,A88_4
A89_0,549,2,false,A73_0
A89_1,556,4,false,A300_2
A89_2,547,4,false,A126_3
A90_0,798,5,false,A182_2
A90_1,803,3,false,A127_1
A91_0,416,3,false,A182_3
A91_1,726,2,true,A91_1
A91_2,713,2,true,A91_2
A92_0,871,2,true,A92_0
A92_1,1146,3,false,A182_6
A93_0,1093,2,true,A93_0
A93_1,1388,1,true,A93_1
A93_2,815,3,false,A182_8
A94_0,800,2,true,A94_0
A94_1,812,2,true,A94_1
A95_0,1276,3,false,A86_1
A95_1,548,3,false,A80_3
A96_0,410,3,true,A96_0
A96_1,189,1,true,A96_1
A96_2,305,3,false,A139_0
A96_3,714,1,true,A96_3
A96_4,64,2,true,A96_4
A97_0,870,2,true,A97_0
A97_1,880,1,true,A97_1
A97_2,879,2,true,A97_2
A98_0,1090,2,true,A98_0
A98_1,816,3,false,A86_9
A98_2,977,1,true,A98_2
A98_3,1223,1,true,A98_3
A98_4,816,3,false,A86_9
A99_0,435,1,true,A99_0
A99_1,368,1,true,A99_1
A99_2,518,1,true,A99_2
A99_3,165,1,true,A99_3
A99_4,475,2,false,A54_0
A100_0,407,2,true,A100_0
A100_1,1138,1,true,A100_1
A100_2,1139,1,true,A100_2
A100_3,992,1,true,A100_3
A100_4,1099,2,true,A100_4
A100_5,1100,1,true,A100_5
A100_6,1099,2,false,A100_4
A100_7,1101,1,true,A100_7
A100_8,1132,1,true,A100_8
A100_9,1309,1,true,A100_9
A100_10,266,1,true,A100_10
A100_11,1194,1,true,A100_11
A101_0,851,2,false,A87_0
A101_1,499,2,false,A87_1
A101_2,524,2,true,A101_2
A101_4,322,2,false,A87_4
A102_0,1057,10,true,A102_0
A102_1,1359,1,true,A102_1
A102_2,1092,2,false,A38_1
A102_3,1213,1,true,A102_3
A102_4,1305,1,true,A102_4
A102_5,849,1,true,A102_5
A102_6,1096,3,true,A102_6
A103_0,1303,2,true,A103_0
A103_1,896,1,true,A103_1
A103_2,350,1,true,A103_2
A103_3,898,1,true,A103_3
A103_4,1325,1,true,A103_4
A103_5,943,1,true,A103_5
A103_6,433,1,true,A103_6
A104_0,264,1,true,A104_0
A104_1,1128,1,true,A104_1
A104_2,265,1,true,A104_2
A105_0,931,1,true,A105_0
A105_1,938,1,true,A105_1
A105_2,783,1,true,A105_2
A105_3,790,1,true,A105_3
A106_0,1264,2,false,A41_3
A106_1,85,1,true,A106_1
A106_2,214,1,true,A106_2
A106_3,873,1,true,A106_3
A106_4,1143,1,true,A106_4
A106_5,1271,1,true,A106_5
A106_6,1055,1,true,A106_6
A106_7,1349,1,true,A106_7
A107_0,1265,1,true,A107_0
A107_1,1085,2,true,A107_1
A107_2,1122,1,true,A107_2
A107_3,1235,1,true,A107_3
A107_4,1086,1,true,A107_4
A108_0,1350,1,true,A108_0
A108_1,1105,1,true,A108_1
A108_2,881,1,true,A108_2
A108_3,1187,1,true,A108_3
A108_4,1311,1,true,A108_4
A108_5,1329,1,true,A108_5
A108_6,1251,2,true,A108_6
A108_7,613,1,true,A108_7
A108_8,577,1,true,A108_8
A109_0,196,1,true,A109_0
A109_1,197,1,true,A109_1
A109_2,198,1,true,A109_2
A109_3,689,1,true,A109_3
A109_4,785,1,true,A109_4
A110_0,1066,4,false,A76_0
A110_1,887,1,true,A110_1
A110_2,62,1,true,A110_2
A110_3,370,1,true,A110_3
A110_4,855,1,true,A110_4
A110_5,1336,1,true,A110_5
A110_6,1243,1,true,A110_6
A110_7,1335,1,true,A110_7
A110_8,1242,1,true,A110_8
A110_9,537,1,true,A110_9
A110_10,385,2,true,A110_10
A110_11,667,1,true,A110_11
A111_0,42,1,true,A111_0
A111_1,270,1,true,A111_1
A111_2,1360,1,true,A111_2
A111_3,58,1,true,A111_3
A111_4,393,3,false,A417_0
A112_0,226,9,false,A442_1
A112_1,242,2,true,A112_1
A112_2,1082,2,true,A112_2
A113_0,1209,1,true,A113_0
A113_1,911,1,true,A113_1
A113_2,700,1,true,A113_2
A114_0,181,1,true,A114_0
A114_1,225,1,true,A114_1
A115_0,1255,1,true,A115_0
A115_1,1376,1,true,A115_1
A115_2,933,1,true,A115_2
A115_3,593,1,true,A115_3
A115_4,884,1,true,A115_4
A115_5,1106,3,true,A115_5
A115_6,594,1,true,A115_6
A115_7,1276,3,false,A86_1
A115_8,932,1,true,A115_8
A115_9,578,1,true,A115_9
A115_10,584,1,true,A115_10
A116_0,418,3,true,A116_0
A116_1,190,1,true,A116_1
A116_2,24,2,true,A116_2
A116_3,715,1,true,A116_3
A116_4,1285,1,true,A116_4
A116_5,1333,2,false,A20_1
A116_6,647,1,true,A116_6
A117_0,539,3,false,A469_0
A117_1,1233,3,false,A133_7
A117_2,826,1,true,A117_2
A117_3,249,1,true,A117_3
A118_0,247,1,true,A118_0
A118_1,248,1,true,A118_1
A118_2,251,1,true,A118_2
A118_3,250,1,true,A118_3
A119_0,1175,1,true,A119_0
A119_1,1177,1,true,A119_1
A119_2,1176,1,true,A119_2
A119_3,1151,1,true,A119_3
A119_4,850,1,true,A119_4
A119_5,1038,1,true,A119_5
A119_6,1228,1,true,A119_6
A120_0,513,1,true,A120_0
A120_1,512,2,true,A120_1
A120_2,876,1,true,A120_2
A120_3,90,1,true,A120_3
A120_4,1393,1,true,A120_4
A120_5,1193,1,true,A120_5
A121_0,1338,1,true,A121_0
A121_1,770,1,true,A121_1
A121_2,771,1,true,A121_2
A121_3,1355,1,true,A121_3
A121_4,1339,1,true,A121_4
A121_5,1174,1,true,A121_5
A121_6,1172,1,true,A121_6
A122_0,1178,2,true,A122_0
A122_1,1173,1,true,A122_1
A122_2,1178,2,false,A122_0
A122_3,1179,1,true,A122_3
A122_4,1180,1,true,A122_4
A123_0,761,1,true,A123_0
A123_1,666,1,true,A123_1
A123_2,950,1,true,A123_2
A123_3,762,1,true,A123_3
A123_4,890,1,true,A123_4
A123_5,1118,1,true,A123_5
A123_6,1210,1,true,A123_6
A123_7,1119,1,true,A123_7
A123_8,1184,1,true,A123_8
A123_9,1110,2,false,A173_1
A123_10,428,1,true,A123_10
A123_11,403,1,true,A123_11
A123_12,1160,1,true,A123_12
A123_13,1202,1,true,A123_13
A123_14,47,1,true,A123_14
A124_0,699,1,true,A124_0
A125_0,886,1,true,A125_0
A125_1,840,1,true,A125_1
A125_2,845,1,true,A125_2
A125_3,846,1,true,A125_3
A126_0,1253,2,false,A13_2
A126_1,1278,1,true,A126_1
A126_2,554,2,false,A129_1
A126_3,547,4,true,A126_3
A127_0,798,5,false,A182_2
A127_1,803,3,true,A127_1
A127_2,804,2,true,A127_2
A127_3,940,1,true,A127_3
A128_0,1375,2,true,A128_0
A128_1,68,1,true,A128_1
A128_2,510,1,true,A128_2
A129_0,758,1,true,A129_0
A129_1,554,2,true,A129_1
A129_2,797,3,true,A129_2
A129_3,1362,2,false,A64_0
A129_4,494,3,false,A42_0
A130_0,410,3,false,A96_0
A130_1,152,1,true,A130_1
A130_2,819,1,true,A130_2
A130_3,716,1,true,A130_3
A131_0,533,1,true,A131_0
A131_1,585,1,true,A131_1
A131_2,1199,1,true,A131_2
A132_0,996,3,true,A132_0
A132_1,974,3,false,A188_3
A133_0,1258,1,true,A133_0
A133_1,91,1,true,A133_1
A133_2,299,1,true,A133_2
A133_3,425,1,true,A133_3
A133_4,658,1,true,A133_4
A133_5,122,1,true,A133_5
A133_6,10,1,true,A133_6
A133_7,1233,3,true,A133_7
A133_8,362,1,true,A133_8
A133_9,1272,1,true,A133_9
A134_0,877,1,true,A134_0
A134_1,1373,2,false,A32_4
A134_2,1348,1,true,A134_2
A134_3,1108,1,true,A134_3
A135_0,913,1,true,A135_0
A135_1,914,1,true,A135_1
A136_0,363,2,true,A136_0
A136_1,331,1,true,A136_1
A136_2,356,1,true,A136_2
A136_3,1064,2,true,A136_3
A136_4,1354,2,true,A136_4
A136_5,29,1,true,A136_5
A136_6,1391,1,true,A136_6
A136_7,1069,3,false,A177_6
A137_0,1260,1,true,A137_0
A137_1,1347,2,true,A137_1
A137_2,937,1,true,A137_2
A138_0,1065,1,true,A138_0
A138_1,142,1,true,A138_1
A138_2,1062,1,true,A138_2
A139_0,305,3,true,A139_0
A139_1,1364,1,true,A139_1
A140_0,766,1,true,A140_0
A140_1,569,1,true,A140_1
A140_2,573,1,true,A140_2
A140_3,1161,1,true,A140_3
A140_4,874,1,true,A140_4
A140_5,574,1,true,A140_5
A140_6,767,1,true,A140_6
A141_0,996,3,false,A132_0
A141_1,979,3,false,A273_1
A142_0,1035,1,true,A142_0
A142_1,1137,1,true,A142_1
A142_2,1019,1,true,A142_2
A142_3,1020,1,true,A142_3
A143_0,1069,3,false,A177_6
A143_1,121,1,true,A143_1
A143_2,592,1,true,A143_2
A143_3,363,2,false,A136_0
A143_4,193,2,true,A143_4
A143_5,355,2,true,A143_5
A143_6,1343,1,true,A143_6
A143_7,1354,2,false,A136_4
A144_0,43,1,true,A144_0
A144_1,483,1,true,A144_1
A145_0,1089,2,true,A145_0
A145_1,59,1,true,A145_1
A145_2,616,1,true,A145_2
A145_3,786,1,true,A145_3
A145_4,789,1,true,A145_4
A145_5,618,1,true,A145_5
A145_6,711,1,true,A145_6
A145_7,1332,1,true,A145_7
A145_8,617,1,true,A145_8
A145_9,630,1,true,A145_9
A146_0,1254,1,true,A146_0
A146_1,1351,1,true,A146_1
A147_0,412,3,false,A354_0
A147_1,523,3,true,A147_1
A147_2,342,3,true,A147_2
A147_3,125,2,true,A147_3
A147_4,227,2,true,A147_4
A147_5,354,2,true,A147_5
A147_6,1268,1,true,A147_6
A148_0,33,2,true,A148_0
A148_1,727,1,true,A148_1
A149_0,576,1,true,A149_0
A149_1,1196,1,true,A149_1
A149_2,1166,1,true,A149_2
A149_3,1363,1,true,A149_3
A149_4,990,2,true,A149_4
A150_0,495,2,true,A150_0
A150_1,258,2,false,A11_3
A150_2,380,1,true,A150_2
A151_0,347,1,true,A151_0
A151_1,22,1,true,A151_1
A151_2,1246,1,true,A151_2
A152_0,230,7,false,A343_1
